GEOID,ME,MELSAD,AQI_Good,Bachelor_Over_25,Per_Poverty,Gini,non_migration,Per_Sev_Hous,Xstreamlengthimpaired,Per_Avg_Land_Cov,poor_health_percent,Z_Water_Index,GHG_Percap,UNEMPLOY,FOOD_INS,VIO_CRIME,Broadband % population without access,Female_Inequality,Black_equality,Hispanic_equality,Asian_equality,,,,
12700,"Barnstable Town, MA","Barnstable Town, MA Metro Area",0.94,41.70,7.50,45.85,90.80,18.29,30.08,30.21,8.30,0.00,12.07,0.0630,8.2,399.5658922,0.02,0.972115951,0.733694874,0.9062688372,1.028863042,,,,
12740,"Barre, VT","Barre, VT Micro Area",0.86,40.50,11.80,42.71,87.90,15.32,32.92,79.37,9.50,0.03,166.43,0.0460,11.3,101.2653919,0.10,0.999359163,0.990840866,1.1215619310,1.463923584,,,,
12780,"Bartlesville, OK","Bartlesville, OK Micro Area",0.77,27.00,14.00,47.34,82.40,11.69,18.00,34.24,15.10,0.13,21.40,0.0483,14.8,239.0966494,0.19,0.961282025,0.751069187,0.7922446051,2.100018304,,,,
12820,"Bastrop, LA","Bastrop, LA Micro Area",0.71,13.90,27.60,50.43,94.20,14.60,11.01,43.99,25.90,0.05,13.25,0.0808,23.1,571.0072038,0.20,1.025797075,0.905895220,0.6488771586,0.658471007,,,,
12860,"Batavia, NY","Batavia, NY Micro Area",0.89,21.40,12.80,40.85,89.70,12.32,44.32,41.93,12.00,0.02,16.10,0.0543,10.3,219.9874293,0.04,0.965223526,0.653583485,0.7359602946,1.875799012,,,,
12900,"Batesville, AR","Batesville, AR Micro Area",0.88,18.00,18.50,46.91,84.40,13.97,4.09,47.58,21.90,0.00,16.44,0.0672,15.6,496.4894006,0.44,1.018793733,0.748842742,0.5590667435,1.742429338,,,,
12940,"Baton Rouge, LA","Baton Rouge, LA Metro Area",0.52,27.60,16.90,47.40,85.70,16.01,16.38,44.49,17.33,0.03,45.18,0.0686,15.19155653,507.9508827,0.39,0.961183774,0.855284067,0.9572291811,1.492406981,,,,
12980,"Battle Creek, MI","Battle Creek, MI Metro Area",0.78,21.00,17.40,44.44,84.10,14.47,84.40,10.72,18.50,0.05,13.26,0.0846,13.9,644.3548267,0.31,0.970661955,0.830481114,0.9167749888,1.364779321,,,,
13020,"Bay City, MI","Bay City, MI Metro Area",0.86,19.00,16.30,44.21,87.90,12.79,62.51,36.27,13.40,0.08,21.93,0.0815,11.8,327.9539449,0.05,0.968822053,0.771125925,0.8777544700,1.698676827,,,,
13060,"Bay City, TX","Bay City, TX Micro Area",0.78,14.70,20.60,46.90,90.10,16.41,5.31,20.65,22.20,0.20,32.33,0.0604,17.2,346.9434958,0.73,0.896331075,0.919007769,0.8252730180,1.143080760,,,,
13100,"Beatrice, NE","Beatrice, NE Micro Area",0.93,20.30,9.10,40.07,88.00,10.06,11.95,17.16,17.50,0.14,35.57,0.0362,12.2,436.7883785,0.12,0.975655539,0.952141633,0.5937234848,1.001189349,,,,
13140,"Beaumont-Port Arthur, TX","Beaumont-Port Arthur, TX Metro Area",0.65,17.60,17.10,47.98,85.50,14.98,6.38,42.25,14.85,0.02,13.43,0.0720,21.95477103,530.3753639,0.30,0.969296918,0.863653854,0.8373546180,1.447199121,,,,
13180,"Beaver Dam, WI","Beaver Dam, WI Micro Area",0.80,16.10,8.80,39.17,86.30,12.44,9.80,6.28,14.60,0.03,15.75,0.0485,9.1,88.89593513,0.20,1.004029416,0.558327994,0.7098970137,0.817259594,,,,
13220,"Beckley, WV","Beckley, WV Metro Area",0.96,17.10,18.50,44.97,90.40,10.50,26.80,76.23,24.59,0.03,21.08,0.0799,14.73671326,404.6878436,0.24,0.987517598,0.838908162,1.1468624640,2.072666543,,,,
13260,"Bedford, IN","Bedford, IN Micro Area",0.79,16.10,11.50,40.82,89.90,11.22,45.73,42.54,21.10,0.02,16.24,0.0563,12.8,314.9529993,0.32,0.972767997,0.687962165,1.0815009270,2.111279036,,,,
13300,"Beeville, TX","Beeville, TX Micro Area",0.78,9.20,19.70,46.92,82.70,15.98,2.59,26.16,17.70,0.16,25.73,0.0607,14.1,252.086887,0.00,NA,0.748713724,0.8400868166,0.481602577,,,,
13340,"Bellefontaine, OH","Bellefontaine, OH Micro Area",0.77,15.10,13.70,42.15,87.40,11.94,79.18,5.91,16.70,0.02,40.01,0.0592,12.6,104.252337,0.19,0.96157585,1.134701811,1.2249685300,2.169306114,,,,
